견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
말티즈,말티즈,White,2006.01,15.6,3.0,http://www.animal.go.kr/files/shelter/2021/07/20210727190759.jpg,Y,M,N,"칩있음, 송곳니 2개만 남음",경기도 성남시,1,15,3,0,1,Y
믹스,믹스,Ivory,2022.01,1.2,7.0,http://www.animal.go.kr/files/shelter/2023/01/202303072003790.jpg,Y,F,N,"칩없음, 보드라운 털이 예쁜 아가",경기도 광주시,0,1,7,1,1,Y
진도,진도,"Black, Brown",2022.01,0.8,5.96,http://www.animal.go.kr/files/shelter/2022/09/202210121510396.jpg,Y,F,N,포산동물병원에 보호 장소부족으로 신고자 창고에 보호중,대구광역시 달성군,1,0,6,1,1,Y
믹스,믹스,"Beige, Ivory",2020.01,2.8,6.0,http://www.animal.go.kr/files/shelter/2022/09/202210021110864.jpg,Y,F,U,"두마리함께구조, 목테착용, 좀더작편털색진함, 조용하고매너있음, 애교많음, 여우닮미녀멍뭉이",경상북도 포항시,0,2,6,1,2,Y
진도,진도,"Black, Brown",2021.01,2.1,16.0,http://www.animal.go.kr/files/shelter/2023/01/202302271702204.jpg,Y,M,U,가죽 체인 목태,대전광역시 유성구,1,2,16,0,2,Y
믹스,믹스,"Black, Brown",2022.01,0.7,1.4,http://www.animal.go.kr/files/shelter/2022/09/202209061809625.jpg,Y,F,N,믹스 갈색검정 암컷,전라남도 광양시,0,0,1,1,1,Y
믹스,믹스,White,2019.01,3.7,8.0,http://www.animal.go.kr/files/shelter/2022/09/202209211709661.jpg,Y,F,N,건강함,강원도 삼척시,0,3,8,1,1,Y
믹스,믹스,"Black, Brown, White",2020.01,1.8,5.0,http://www.animal.go.kr/files/shelter/2021/10/202110251310161.jpg,Y,M,N,"빨간목줄, 순함",경기도 안산시,0,1,5,0,1,Y
믹스,믹스,White,2021.01,0.3,3.0,http://www.animal.go.kr/files/shelter/2021/04/202104220904815.jpg,Y,F,N,태어난 지 되어,전라남도 나주시,0,0,3,1,1,Y
진도,진도,Beige,2017.01,5.8,10.1,http://www.animal.go.kr/files/shelter/2022/10/202210200910384.jpg,Y,M,N,"매우 사나운 편, 사람에 대한 경계심이 많음",대구광역시 군위군,1,5,10,0,1,Y
믹스,믹스,Brown,2020.01,1.2,7.9,http://www.animal.go.kr/files/shelter/2021/03/202103241703835.jpg,Y,F,N,"심장사상충 양성, 목줄에 쪼여서 상처있음",경상남도 고성군,0,1,8,1,1,Y
말티즈,말티즈,White,2016.01,7.5,3.0,http://www.animal.go.kr/files/shelter/2023/05/20230618140661.jpg,Y,M,N,"외장형 목걸이 착용, 반환예",강원도 강릉시,1,7,3,0,1,Y
시츄,시츄,"Beige, White",2016.01,5.4,3.5,http://www.animal.go.kr/files/shelter/2021/05/202105131605833[2].jpg,Y,F,U,"적색옷, 적색목줄 착용",경기도 고양시,1,5,4,1,2,Y
믹스,믹스,"Black, White",2015.01,7.6,6.0,http://www.animal.go.kr/files/shelter/2022/08/202208121208930.jpg,Y,F,Y,사람을 너무좋아하고 애교가 많음,경상북도 성주군,0,7,6,1,0,Y
라브라도리트리버,라브라도리트리버,Black,2021.01,0.4,4.2,http://www.animal.go.kr/files/shelter/2021/06/20210609190613.jpg,Y,M,N,"사람을 좋아하며, 매우온순함",경기도 여주시,1,0,4,0,1,Y
요크셔테리어,요크셔테리어,"Black, Brown",2021.01,2.5,2.6,http://www.animal.go.kr/files/shelter/2023/05/202307051507936.jpg,Y,M,N,"파란색목줄착용, 칩있으나 정보없음, 부정교합",인천광역시 계양구,1,2,3,0,1,Y
웰시코기펨브로크,웰시코기펨브로크,"Brown, White",2018.01,3.9,9.0,http://www.animal.go.kr/files/shelter/2021/11/202111291511258[1].jpg,Y,M,N,"칩있음, 목줄착용, 온순하고 귀여움",경기도 광주시,1,3,9,0,1,Y
믹스,믹스,"Brown, White",2020.01,2.1,6.6,http://www.animal.go.kr/files/shelter/2022/02/202203021703841.jpg,Y,M,N,0157 황금,광주광역시 북구,0,2,7,0,1,Y
믹스,믹스,White,2018.01,3.5,25.0,http://www.animal.go.kr/files/shelter/2021/07/202107081307427.jpg,Y,M,N,"대형포획틀 포획, 빨간목줄 착용, 순함",경상남도 창원시,0,3,25,0,1,Y
믹스,믹스,"Black, Brown",2023.01,0.1,5.0,http://www.animal.go.kr/files/shelter/2023/01/202302021802762.jpg,Y,M,N,순함,충청남도 예산군,0,0,5,0,1,Y
믹스,믹스,"Black, Brown, White",2021.01,1.1,6.1,http://www.animal.go.kr/files/shelter/2022/02/202202191502698.jpg,Y,F,U,"양 귀 반 접힘, 겁많음, 으르렁댐, 방어적 입질 심함, 움찔댐, 칩확인불가, 꼬리단미안됨, 털상태",경기도 양주시,0,1,6,1,2,Y
말티즈,말티즈,White,2016.01,5.4,3.5,http://www.animal.go.kr/files/shelter/2021/05/202106031006954.jpg,Y,M,N,"금정, 왼쪽 송곳니 없음",부산광역시 해운대구,1,5,4,0,1,Y
말티즈,말티즈,White,2019.01,2.5,4.0,http://www.animal.go.kr/files/shelter/2021/07/20210712150757[1].jpg,Y,F,N,순함,경상남도 거제시,1,2,4,1,1,Y
믹스,믹스,Brown,2021.01,0.1,3.0,http://www.animal.go.kr/files/shelter/2020/11/202102180302373.jpg,Y,M,N,순하고이쁘게생겼음,전라북도 익산시,0,0,3,0,1,Y
믹스,믹스,White,2018.01,5.4,5.0,http://www.animal.go.kr/files/shelter/2023/05/202306020906394.jpg,Y,M,N,"순함, 털 관리 안됨, 페키니즈 믹스",경기도 안산시,0,5,5,0,1,Y
푸들,푸들,Brown,2017.01,5.1,3.0,http://www.animal.go.kr/files/shelter/2022/01/202202061502453.jpg,Y,M,N,"체크무늬후드옷착용, 빨간목줄착용, 부분적 피부안좋고 털엉켜있음, 말랐음",경상남도 창원시,1,5,3,0,1,Y
