견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
스피츠,스피츠,White,2022.01,0.8,1.0,http://www.animal.go.kr/files/shelter/2022/11/202211151411848.jpg,Y,F,N,사람을좋아하고 애교만점 종합검진완료 없슴,경상북도 성주군,1,0.8,1.0,1,1,Y
말티즈,말티즈,White,2011.01,11.9,3.0,http://www.animal.go.kr/files/shelter/2022/11/202211251711480.jpg,Y,F,Y,"혀바닥이나옴, 빨간무늬옷입음",전라북도 전주시,1,11.9,3.0,1,0,Y
믹스,믹스,"Brown, White",2020.01,2.4,23.0,http://www.animal.go.kr/files/shelter/2022/05/202206092306181.jpg,Y,M,N,"핏불믹스, 순함, 목줄착용, 사상충음성",충청북도 충주시,0,2.4,23.0,0,1,Y
믹스,믹스,White,2021.01,0.9,2.2,http://www.animal.go.kr/files/shelter/2021/11/202111181811327.jpg,Y,F,N,,인천광역시 중구,0,0.9,2.2,1,1,Y
믹스,믹스,White,2021.01,0.3,1.97,http://www.animal.go.kr/files/shelter/2021/03/202104061504535[1].jpg,Y,M,N,,충청북도 제천시,0,0.3,1.97,0,1,Y
진도,진도,Brown,2018.01,3.6,14.0,http://www.animal.go.kr/files/shelter/2021/08/202108150408539.jpg,Y,M,N,갈색목태을하고있고 순한편임,전라북도 익산시,1,3.6,14.0,0,1,Y
믹스,믹스,Beige,2013.01,10.6,3.0,http://www.animal.go.kr/files/shelter/2023/07/202307301407527.jpeg,Y,F,N,황색,강원도 태백시,0,10.6,3.0,1,1,Y
시바,시바,"Brown, White",2020.01,1.5,12.5,http://www.animal.go.kr/files/shelter/2021/06/202106211406286.jpg,Y,M,N,"순함, 초록색목테착용",울산광역시 울주군,1,1.5,12.5,0,1,Y
믹스,믹스,White,2019.01,3.2,5.0,http://www.animal.go.kr/files/shelter/2022/03/202203041703300.jpg,Y,F,N,눈 염증,전라북도 진안군,0,3.2,5.0,1,1,Y
믹스,믹스,"Brown, White",2022.01,0.6,5.0,http://www.animal.go.kr/files/shelter/2022/08/202208231408819.jpg,Y,F,N,목줄 있음,강원도 양구군,0,0.6,5.0,1,1,Y
믹스,믹스,Brown,2021.01,0.5,3.0,http://www.animal.go.kr/files/shelter/2021/07/202107191407126.jpg,Y,M,N,진드기감염,경기도 파주시,0,0.5,3.0,0,1,Y
풍산견,풍산견,White,2023.01,0.1,1.3,http://www.animal.go.kr/files/shelter/2023/01/202302221502972.jpg,Y,M,N,모견과 자견6마리같이발견,인천광역시 계양구,1,0.1,1.3,0,1,Y
믹스,믹스,"Black, Brown, White",2021.01,0.8,15.0,http://www.animal.go.kr/files/shelter/2021/10/202110121610332.jpg,Y,F,N,"나이미상, 겁많음",경기도 안산시,0,0.8,15.0,1,1,Y
믹스,믹스,Beige,2023.01,0.8,0.5,http://www.animal.go.kr/files/shelter/2023/07/202311011411840.jpg,Y,F,N,"공고 23-923의 자견, 순하고 사람을 좋아함",충청북도 청주시,0,0.8,0.5,1,1,Y
믹스,믹스,White,2022.01,0.9,7.0,http://www.animal.go.kr/files/shelter/2022/11/202212122012369.jpg,Y,F,N,온순하고 사람을 좋아함,전라북도 완주군,0,0.9,7.0,1,1,Y
믹스,믹스,Black,2021.01,1.1,7.0,http://www.animal.go.kr/files/shelter/2022/01/202201211301232.jpeg,Y,M,N,온순함,경상북도 영주시,0,1.1,7.0,0,1,Y
믹스,믹스,"Beige, White",2020.01,1.3,7.0,http://www.animal.go.kr/files/shelter/2021/04/202104242304809.jpg,Y,M,N,아파트 배회중인 아이를 신고자분이 보호소에 신고 매우순함,전라북도 군산시,0,1.3,7.0,0,1,Y
말티즈,말티즈,White,2016.01,5.8,2.0,http://www.animal.go.kr/files/shelter/2021/10/202110121310516.jpg,Y,F,N,오른쪽 슬개골 탈구 2기,서울특별시 강동구,1,5.8,2.0,1,1,Y
푸들,푸들,Black,2020.01,2.4,7.0,http://www.animal.go.kr/files/shelter/2022/04/202205311905424.jpg,Y,M,N,"칩없음, 검정색 목줄 착용, 푸들 믹스, 미용되어있는 상태",경기도 광주시,1,2.4,7.0,0,1,Y
믹스,믹스,Ivory,2021.01,0.8,1.7,http://www.animal.go.kr/files/shelter/2021/10/202110212010258.jpg,Y,F,N,착하고 귀여움,경기도 파주시,0,0.8,1.7,1,1,Y
믹스,믹스,Black,2019.01,3.7,12.0,http://www.animal.go.kr/files/shelter/2022/08/202209010909983.jpeg,Y,F,N,건강함,강원도 삼척시,0,3.7,12.0,1,1,Y
시츄,시츄,"Brown, White",2014.01,7.5,4.2,http://www.animal.go.kr/files/shelter/2021/07/202107231107144.jpg,Y,F,N,"부분미용, 진드기",강원도 원주시,1,7.5,4.2,1,1,Y
믹스,믹스,Beige,2022.01,0.5,2.1,http://www.animal.go.kr/files/shelter/2022/07/202207181407479[1].jpg,Y,M,N,"갈색, 폴짝폴짝 잘 뛰어다님남매들하고 너무 잘놀아요공고중입양가능",경상남도 창원시,0,0.5,2.1,0,1,Y
믹스,믹스,White,2015.01,6.9,26.0,http://www.animal.go.kr/files/shelter/2021/11/202111252311688.jpg,Y,M,N,코가 분홍색임,경기도 남양주시,0,6.9,26.0,0,1,Y
