견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,"Brown, White",2021.01,1.8,13.0,http://www.animal.go.kr/files/shelter/2022/10/202210280810806.jpg,Y,F,U,"순함, 사람좋아함, 활발함",경기도 안산시,0,1,13,1,2,Y
믹스,믹스,"Black, Brown",2022.01,0.3,2.0,http://www.animal.go.kr/files/shelter/2022/04/202204291204213.jpg,Y,F,N,야산에소중형견어미가새끼를낳아 신고자임보중,경상북도 칠곡군,0,0,2,1,1,Y
믹스,믹스,"Brown, White",2017.01,4.7,3.5,http://www.animal.go.kr/files/shelter/2021/09/202109141309588.jpg,Y,M,N,노란색가슴끈착용,인천광역시 계양구,0,4,4,0,1,Y
닥스훈트,닥스훈트,Unknown,2017.01,5.0,7.16,https://cafethumb.pstatic.net/MjAyMjExMjBfMjA1/MDAxNjY4OTI3ODQzODAx.SVzy5o_dEe3VDSbDG9ojUkxYRik-pSU0pIUCYRJYFgwg.DRFI5Ej8mQfbPLscKfIMXz17sske9mR3doOwGZCvi2og.JPEG/KakaoTalk_20221118_182516289_23.jpg?type=f200_200,Y,M,U,,서울특별시 마포구,1,5,7,0,2,Y
푸들,푸들,White,2018.01,3.1,3.5,http://www.animal.go.kr/files/shelter/2021/01/202102031602128.jpg,Y,F,N,애견센타 호텔링후 견주락두절,경상북도 칠곡군,1,3,4,1,1,Y
믹스,믹스,"Gray, Ivory",2021.01,0.2,3.5,http://www.animal.go.kr/files/shelter/2021/03/202104051804434[1].jpg,Y,M,N,온순하며 잘따름,전라남도 담양군,0,0,4,0,1,Y
베들링턴테리어,베들링턴테리어,White,2017.01,5.6,6.3,http://www.animal.go.kr/files/shelter/2022/08/202208291008177.jpg,Y,F,N,,경상남도 고성군,1,5,6,1,1,Y
믹스,믹스,"Black, Brown",2022.01,0.8,2.0,http://www.animal.go.kr/files/shelter/2022/11/202211071411287.jpg,Y,F,N,왕짜,광주광역시 북구,0,0,2,1,1,Y
골든리트리버,골든리트리버,Brown,2021.01,2.3,30.0,http://www.animal.go.kr/files/shelter/2023/03/202304032204417.jpg,Y,F,N,순하고이쁘며 사람에게잘따름,전라북도 익산시,1,2,30,1,1,Y
믹스,믹스,"Gray, White",2021.01,0.9,3.0,http://www.animal.go.kr/files/shelter/2021/11/202112111312138.png,Y,M,N,떠돌아다니던 애기강아지,경상북도 상주시,0,0,3,0,1,Y
닥스훈트,닥스훈트,Black,2013.01,8.0,4.0,http://www.animal.go.kr/files/shelter/2020/11/202012251312355.jpg,Y,F,U,순하고 하울링을 잘함,전라남도 나주시,1,8,4,1,2,Y
믹스,믹스,"Black, White",2021.01,1.3,4.0,http://www.animal.go.kr/files/shelter/2022/04/202205061505544.jpg,Y,F,U,순함,경기도 안산시,0,1,4,1,2,Y
푸들,푸들,Brown,2020.01,3.4,4.6,http://www.animal.go.kr/files/shelter/2023/05/202305261405605.jpg,Y,M,Y,"귀접힘, 코팥죽색, 눈물자국, 다리방울미용, 겁있으나 사람손길 거부안함, 꼬리 짝 단미됨, 털상태",경기도 양주시,1,3,5,0,0,Y
푸들,푸들,White,2020.01,3.3,4.0,http://www.animal.go.kr/files/shelter/2023/04/202304061304228.jpeg,Y,M,Y,"순한성격, 혈뇨증상 있었으나 나아진 상태",충청북도 청주시,1,3,4,0,0,Y
비글,비글,"Black, Brown, White",2019.01,4.0,10.0,http://www.animal.go.kr/files/shelter/2022/12/202212231412672.jpg,Y,F,U,"쇠목줄착용, 순함",인천광역시 부평구,1,4,10,1,2,Y
믹스,믹스,White,2022.01,0.0,3.0,http://www.animal.go.kr/files/shelter/2022/01/202201131601610.jpg,Y,F,N,두 마리 함께 발견되었으며 사람 잘 따르고 순함,충청남도 청양군,0,0,3,1,1,Y
시츄,시츄,"Brown, White",2016.01,6.9,4.0,http://www.animal.go.kr/files/shelter/2022/11/202211221511143[1].jpg,Y,F,U,"갈, 흰색, 온순",강원도 춘천시,1,6,4,1,2,Y
믹스,믹스,White,2023.01,0.7,6.1,http://www.animal.go.kr/files/shelter/2023/07/20230906170954.jpg,Y,F,N,온순하고 사람을 잘따르는 이쁜아이,경기도 남양주시,0,0,6,1,1,Y
믹스,믹스,Black,2022.01,1.4,10.0,http://www.animal.go.kr/files/shelter/2023/05/20230617150692.jpg,Y,F,N,"개장수에게 구조된 아이, 이렇게 겁이 많 네가, 차가운 뜬장에서 얼마나 무서웠을지",경상북도 예천군,0,1,10,1,1,Y
믹스,믹스,"Black, Brown, Gray",2022.01,0.1,1.3,http://www.animal.go.kr/files/shelter/2022/01/20220126130129.jpg,Y,M,N,,충청남도 보령시,0,0,1,0,1,Y
믹스,믹스,Brown,2022.01,0.0,3.4,http://www.animal.go.kr/files/shelter/2021/12/202201101101988.jpg,Y,F,N,"출산2021, 11, 19",경기도 수원시,0,0,3,1,1,Y
푸들,푸들,Black,2018.01,5.5,6.5,http://www.animal.go.kr/files/shelter/2023/05/202307011407135.jpg,Y,M,U,관리상태불량,서울특별시 동작구,1,5,6,0,2,Y
말티즈,말티즈,White,2019.01,2.9,2.0,http://www.animal.go.kr/files/shelter/2021/11/202111101711357.jpeg,Y,F,N,"마이크로칩확인, 유실견",인천광역시 부평구,1,2,2,1,1,Y
웰시코기펨브로크,웰시코기펨브로크,"Brown, White",2017.01,4.0,9.5,http://www.animal.go.kr/files/shelter/2020/11/202012311112610.jpg,Y,F,U,"검 천목줄, 철사목줄, 양안 짝 사시인듯, 여윔, 기력없음, 얌전함, 꼬리단미도미, 털때탐",경기도 양주시,1,4,10,1,2,Y
믹스,믹스,"Black, White",2021.01,0.7,3.1,http://www.animal.go.kr/files/shelter/2021/09/202110061410904.jpg,Y,M,N,소심함,경기도 안성시,0,0,3,0,1,Y
믹스,믹스,Beige,2021.01,0.9,1.4,http://www.animal.go.kr/files/shelter/2021/11/202111161911748.jpg,Y,F,U,"순하고 잘따름, 꼬리 단미",전라남도 무안군,0,0,1,1,2,Y
그레이트덴,그레이트덴,Brown,2013.01,8.2,40.0,http://www.animal.go.kr/files/shelter/2021/01/202102262002638.jpg,Y,M,U,"사냥개, 목아래 등부분 상처 수술",세종특별자치시  전동면,1,8,40,0,2,Y
믹스,믹스,White,2022.01,0.3,0.3,http://www.animal.go.kr/files/shelter/2022/04/202204261704786.jpg,Y,M,N,,경기도 양평군,0,0,0,0,1,Y
말티즈,말티즈,White,2017.01,4.8,5.0,http://www.animal.go.kr/files/shelter/2021/10/202110191110746.jpg,Y,M,Y,"코검정, 미용되어있음, 사람좋아함, 꼬리단미안됨, 털상태",경기도 양주시,1,4,5,0,0,Y
믹스,믹스,"Brown, White",2006.01,15.9,8.0,http://www.animal.go.kr/files/shelter/2021/11/202112122312542.jpg,Y,F,N,"원기부족, 양쪽귀 갈색",인천광역시 계양구,0,15,8,1,1,Y
믹스,믹스,Ivory,2021.01,0.2,4.0,http://www.animal.go.kr/files/shelter/2020/11/202103081603424.jpg,Y,F,N,새끼강아지 4마리같이 들어옴,경기도 화성시,0,0,4,1,1,Y
믹스,믹스,Black,2021.01,0.9,11.0,http://www.animal.go.kr/files/shelter/2021/11/202111231711331.jpg,Y,F,N,온순,전라북도 정읍시,0,0,11,1,1,Y
믹스,믹스,Beige,2022.01,0.1,2.0,http://www.animal.go.kr/files/shelter/2022/01/20220207150268.jpg,Y,F,N,"으로 어리고 건강하다, 어미의 수유를 받고 있음",충청북도 증평군,0,0,2,1,1,Y
보스턴테리어,보스턴테리어,"Black, White",2016.01,5.4,7.54,http://www.animal.go.kr/files/shelter/2021/05/202105271805989.jpg,Y,F,N,"밤색 목태착용, 포도밭 인근에서 배회하여 구조, 약간의 겁이 있음",경상북도 경산시,1,5,8,1,1,Y
믹스,믹스,Brindle,2021.01,2.8,14.0,http://www.animal.go.kr/files/shelter/2023/07/202311012011895.jpg,Y,F,N,빨강색목태을하고있으며 순한편임,전라북도 익산시,0,2,14,1,1,Y
믹스,믹스,"Black, Brown",2022.01,0.1,8.3,http://www.animal.go.kr/files/shelter/2022/01/202202071502652.jpg,Y,F,U,"빨간바탕노란줄무늬목줄, 양귀반접힘, 사람좋아함, 활발, 온순, 꼬리단미안됨, 오른귀상처",경기도 양주시,0,0,8,1,2,Y
슈나우져,슈나우져,"Black, White",2014.01,8.5,4.9,http://www.animal.go.kr/files/shelter/2022/07/202207121707135.jpg,Y,F,U,"백내장의심, 오른배, 우후지종양의심, 겁많음, 사람잘따름, 꼬리단미됨, 털상태, 칩있음",경기도 양주시,1,8,5,1,2,Y
포메라니안,포메라니안,White,2016.01,5.8,4.34,http://www.animal.go.kr/files/shelter/2021/10/202110271710244.jpg,Y,M,N,"빨간색 하네스, 흰색, 동물등록칩410100008209156-주인락됨",부산광역시 해운대구,1,5,4,0,1,Y
믹스,믹스,White,2020.01,1.1,7.0,http://www.animal.go.kr/files/shelter/2021/01/202101281901904.jpg,Y,F,N,최근 유기 된듯함 친숙함,경상남도 창녕군,0,1,7,1,1,Y
믹스,믹스,Beige,2021.01,1.0,8.0,http://www.animal.go.kr/files/shelter/2021/12/202112301512470.jpg,Y,F,N,분홍색목줄착용,경기도 고양시,0,1,8,1,1,Y
비글,비글,"Black, Brown, White",2018.01,3.5,15.0,http://www.animal.go.kr/files/shelter/2021/06/202106211406193.jpg,Y,M,Y,매우 친화적이며 명랑함,경기도 용인시,1,3,15,0,0,Y
믹스,믹스,White,2023.01,0.2,0.5,http://www.animal.go.kr/files/shelter/2023/03/202303241603621.jpg,Y,M,U,60번 자견,경기도 양평군,0,0,0,0,2,Y
보더콜리,보더콜리,"Black, White",2018.01,5.1,18.0,http://www.animal.go.kr/files/shelter/2023/01/202302121702375.jpg,Y,M,N,"보통체형, 순함",경상북도 안동시,1,5,18,0,1,Y
믹스,믹스,Black,2023.01,0.2,7.0,http://www.animal.go.kr/files/shelter/2023/01/202303061803781.jpg,Y,F,N,"배추, 목줄 착용",광주광역시 북구,0,0,7,1,1,Y
그레이트덴,그레이트덴,"Black, Gray, White",2018.01,5.8,50.0,http://www.animal.go.kr/files/shelter/2023/07/202310231410284.jpg,Y,M,N,"매듭지어진 빨간티셔츠, 회색목줄, 좌안, 온순, 꼬리단미안됨, 털상태",경기도 양주시,1,5,50,0,1,Y
