견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
시바,시바,"Black, Brown",2021.01,1.5,7.0,http://www.animal.go.kr/files/shelter/2022/04/202207012307945.jpg,Y,M,N,녹색목줄 착용,전라북도 전주시,1,1,7,0,1,Y
믹스,믹스,Tri,2023.01,0.7,1.2,http://www.animal.go.kr/files/shelter/2023/07/202309151509529.jpg,Y,F,U,2마리 같이 구조,인천광역시 중구,0,0,1,1,2,Y
믹스,믹스,Beige,2022.01,0.5,2.0,http://www.animal.go.kr/files/shelter/2022/07/202207142007965.jpeg,Y,M,N,"흰, 갈색",강원도 원주시,0,0,2,0,1,Y
믹스,믹스,Brown,2021.01,0.1,2.0,http://www.animal.go.kr/files/shelter/2020/11/202101281101476.jpg,Y,F,U,,충청남도 홍성군,0,0,2,1,2,Y
믹스,믹스,Black,2021.01,0.8,2.7,http://www.animal.go.kr/files/shelter/2021/10/202110291310720.png,Y,M,N,3월으로 사료 너무 잘 먹음 7마리 중,경상북도 울진군,0,0,3,0,1,Y
믹스,믹스,"Brown, White",2017.01,4.1,23.0,http://www.animal.go.kr/files/shelter/2020/11/202101221401189.png,Y,M,N,"파란색 목줄 착용, 사납지는 않으나 사람을 무서워함",경상남도 하동군,0,4,23,0,1,Y
믹스,믹스,"Black, Brown",2022.01,0.8,0.4,http://www.animal.go.kr/files/shelter/2022/10/20221020131098.jpg,Y,F,N,전후의 자견 저체온증 및 기아 탈수,울산광역시 남구,0,0,0,1,1,Y
치와와,치와와,Black,2019.01,3.5,3.0,http://www.animal.go.kr/files/shelter/2022/05/202206211006776.jpg,Y,M,Y,,대구광역시 수성구,1,3,3,0,0,Y
보스턴테리어,보스턴테리어,"Black, White",2018.01,5.2,13.5,http://www.animal.go.kr/files/shelter/2023/01/202303051503801.jpg,Y,F,N,"오른쪽눈각막혼탁, 체리아이, 눈꼽이 심함, 순한편임",인천광역시 중구,1,5,14,1,1,Y
믹스,믹스,"Beige, White",2016.01,7.5,7.0,http://www.animal.go.kr/files/shelter/2023/05/202307071607768.jpg,Y,M,U,사람을 잘따름,충청남도 홍성군,0,7,7,0,2,Y
믹스,믹스,White,2019.01,2.2,8.0,http://www.animal.go.kr/files/shelter/2021/03/202103241003111.jpg,Y,F,U,"다리 짧음, 소형견",강원도 양구군,0,2,8,1,2,Y
진도,진도,White,2023.01,0.6,4.0,http://www.animal.go.kr/files/shelter/2023/07/20230808170823.jpg,Y,M,N,순하고 귀여운 아기백구,충청북도 청주시,1,0,4,0,1,Y
푸들,푸들,Black,2021.01,0.7,4.0,http://www.animal.go.kr/files/shelter/2021/09/202109171309155.jpg,Y,F,N,"쇠목줄, 임시보호",제주특별자치도 제주시,1,0,4,1,1,Y
믹스,믹스,"Brown, White",2022.01,0.2,1.5,http://www.animal.go.kr/files/shelter/2022/03/202203081703190.jpg,Y,M,N,순하고 귀여움,충청남도 태안군,0,0,2,0,1,Y
셰퍼드,셰퍼드,Brown,2019.01,2.0,28.0,http://www.animal.go.kr/files/shelter/2020/11/202101091601305.jpg,Y,M,N,"사람좋아함, 순함, 앉아와 손줘를 잘함",인천광역시 서구,1,2,28,0,1,Y
페키니즈,페키니즈,White,2012.01,9.7,6.5,http://www.animal.go.kr/files/shelter/2021/09/202109171209673.jpg,Y,F,N,"순함, 눈꼽심함, 피부병 증세 있음",울산광역시 울주군,1,9,6,1,1,Y
말티즈,말티즈,White,2017.01,5.5,5.0,http://www.animal.go.kr/files/shelter/2022/06/202207021107146.jpg,Y,F,U,자가미용흔적,서울특별시 동작구,1,5,5,1,2,Y
믹스,믹스,White,2018.01,3.9,3.78,http://www.animal.go.kr/files/shelter/2021/11/202111181711541.jpg,Y,M,N,"심장사상충검사:음성, 종합백신접종, 코로나장염접종, 광견병백신접종, 데피닛, 스팟라인, 구충제경구투여",전라남도 순천시,0,3,4,0,1,Y
믹스,믹스,Beige,2022.01,0.6,11.0,http://www.animal.go.kr/files/shelter/2022/08/202208161508713.jpg,Y,M,N,순하고 사람을 잘 따름,경기도 평택시,0,0,11,0,1,Y
비글,비글,"Black, Brown, White",2019.01,3.6,14.0,http://www.animal.go.kr/files/shelter/2022/08/202208242108820.jpg,Y,F,U,목줄없고 온순함,경기도 남양주시,1,3,14,1,2,Y
믹스,믹스,Black,2023.01,0.2,1.6,http://www.animal.go.kr/files/shelter/2023/03/202303171003969.jpg,Y,M,N,감기 증세,대구광역시 동구,0,0,2,0,1,Y
진도,진도,White,2021.01,1.7,18.0,http://www.animal.go.kr/files/shelter/2022/09/202209210909875.jpeg,Y,M,N,주인 모를 덫에 걸린 상태로 발견됨,충청북도 옥천군,1,1,18,0,1,Y
믹스,믹스,White,2023.01,0.8,1.39,http://www.animal.go.kr/files/shelter/2023/07/202310261610862.jpg,Y,F,N,"복슬복슬, 넓적하게 쳐진 귀가 매력인 아기 강아지",경상북도 경주시,0,0,1,1,1,Y
믹스,믹스,"Black, Spotted, White",2022.01,0.2,2.1,http://www.animal.go.kr/files/shelter/2022/02/202203030903230.png,Y,F,N,"흰색검정얼룩, 눈썹흰색, 형제자매4두구출",충청남도 부여군,0,0,2,1,1,Y
푸들,푸들,Brown,2018.01,5.1,4.0,http://www.animal.go.kr/files/shelter/2023/01/202302081102712.jpg,Y,F,U,하늘색 줄무늬 옷 착용,경기도 고양시,1,5,4,1,2,Y
믹스,믹스,White,2023.01,0.6,1.5,http://www.animal.go.kr/files/shelter/2023/07/202308262008850.jpg,Y,M,N,작고순하며이쁘게생겼음,전라북도 익산시,0,0,2,0,1,Y
푸들,푸들,White,2020.01,1.8,2.7,http://www.animal.go.kr/files/shelter/2021/10/202110061610637.jpg,Y,F,U,"온순함, 겁있음, 꼬리단미안됨, 털때탐",경기도 양주시,1,1,3,1,2,Y
믹스,믹스,"Black, Brown",2022.01,0.8,3.0,http://www.animal.go.kr/files/shelter/2022/09/202210051510160.jpg,Y,M,N,"캣츠걸처럼 얼굴에 가면 쓰고 있음, 앞으로 아무도 신경쓰지 않는 존재가 아닌 누군가에게 소중한 존재이길",경상북도 예천군,0,0,3,0,1,Y
믹스,믹스,Brown,2021.01,0.3,1.5,http://www.animal.go.kr/files/shelter/2021/04/202104131004111.jpg,Y,F,N,"교상뒷다리물림, 임시보호",제주특별자치도 제주시,0,0,2,1,1,Y
