견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,"Black, Brown",2021.01,0.1,1.9,http://www.animal.go.kr/files/shelter/2020/11/202102031102813[1].jpg,Y,M,N,"양귀반접힘, 겁있음, 온순함",경기도 양주시,0,0,2,0,1,Y
믹스,믹스,Beige,2022.01,0.3,4.6,http://www.animal.go.kr/files/shelter/2022/04/202204212004136.jpg,Y,M,U,순하고 활발함,전라남도 무안군,0,0,5,0,2,Y
믹스,믹스,"Black, Brown",2020.01,1.3,12.0,http://www.animal.go.kr/files/shelter/2021/04/202104272304108.jpg,Y,F,N,온순함,전라북도 전주시,0,1,12,1,1,Y
믹스,믹스,"Beige, White",2021.01,0.6,13.0,http://www.animal.go.kr/files/shelter/2021/08/202108251308845.jpg,Y,M,N,"양귀반접힘, 코진갈, 이갈이중, 앞니영구치, 송곳니갈이중, 사람좋아함, 활발함, 겁약간, 털때탐",경기도 양주시,0,0,13,0,1,Y
말티즈,말티즈,White,2012.01,11.0,3.0,http://www.animal.go.kr/files/shelter/2022/12/202212281612788.jpg,Y,M,Y,"분홍색옷착용, 순함, 혀가 조금 나와있음, 전체적으로 미용되어 있음",경상남도 창원시,1,11,3,0,0,Y
푸들,푸들,Beige,2021.01,2.8,3.0,http://www.animal.go.kr/files/shelter/2023/07/202310111110354.jpg,Y,M,N,"순함, 말티푸, 한쪽눈부상, 피부가 안좋았다함, 신고자가 미용시킴, 털이 길었음",경상남도 창원시,1,2,3,0,1,Y
믹스,믹스,"Beige, Black",2022.01,1.2,14.0,http://www.animal.go.kr/files/shelter/2023/01/202303011403204.jpg,Y,M,N,"내장칩 없음, 목줄과 가슴줄 둘 다 착용, 진도셰퍼트 같 느낌, 앞전에 입소한적있어 보호자 락함",경상북도 포항시,0,1,14,0,1,Y
믹스,믹스,"Black, Brown",2022.01,0.1,4.8,http://www.animal.go.kr/files/shelter/2022/01/202202072302499.jpg,Y,M,N,약간 소심한편,전라북도 전주시,0,0,5,0,1,Y
믹스,믹스,Black,2019.01,2.8,5.5,http://www.animal.go.kr/files/shelter/2021/10/202110201310346.jpg,Y,M,N,목줄없이발견,강원도 강릉시,0,2,6,0,1,Y
믹스,믹스,Tri,2021.01,0.3,1.72,http://www.animal.go.kr/files/shelter/2021/04/202104301504434.jpg,Y,F,N,,인천광역시 강화군,0,0,2,1,1,Y
말티즈,말티즈,White,2018.01,4.9,3.0,http://www.animal.go.kr/files/shelter/2022/11/202211221511171.jpg,Y,M,Y,"가슴줄 착용노란색, 많이 야윔, 털 관리 안되어 있음",경상남도 창원시,1,4,3,0,0,Y
믹스,믹스,"Black, Brown, White",2019.01,2.5,7.0,http://www.animal.go.kr/files/shelter/2021/09/202109101609277.jpg,Y,F,U,사람을 좋아함,경상남도 통영시,0,2,7,1,2,Y
믹스,믹스,White,2017.01,4.2,9.0,http://www.animal.go.kr/files/shelter/2021/03/202103181803730.jpg,Y,M,N,순하며 사람을 잘따름,경기도 양평군,0,4,9,0,1,Y
믹스,믹스,"Black, White",2021.01,0.8,5.0,http://www.animal.go.kr/files/shelter/2021/10/202110261710142.jpg,Y,M,N,,경상북도 경주시,0,0,5,0,1,Y
