견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,Brown,2022.01,0.0,3.0,http://www.animal.go.kr/files/shelter/2022/01/202202021302326.png,N,M,N,물림사고치료완료,충청북도 증평군,0,0,3,0.0,1,N
믹스,믹스,"Beige, White",2021.01,1.7,10.0,http://www.animal.go.kr/files/shelter/2022/09/202209300909215.jpg,N,F,U,구평동에서 발견,부산광역시 강서구,0,1,10,1.0,2,N
믹스,믹스,Beige,2021.01,0.0,0.42,http://www.animal.go.kr/files/shelter/2021/01/202101171801965.jpg,N,M,U,구조된 모견출산,전라남도 무안군,0,0,0,0.0,2,N
믹스,믹스,White,2021.01,0.8,0.5,http://www.animal.go.kr/files/shelter/2021/10/202110131510529.jpg,N,M,N,출생 후 유기,전라남도 진도군,0,0,0,0.0,1,N
믹스,믹스,White,2022.01,0.1,1.2,http://www.animal.go.kr/files/shelter/2022/01/202202150902651.jpg,N,M,N,,제주특별자치도 제주시,0,0,1,0.0,1,N
믹스,믹스,"Black, Brown",2022.01,0.3,10.0,http://www.animal.go.kr/files/shelter/2022/05/202205031105900.png,N,M,N,"자번식한 들개로, 순화되지 않 야생성, 전신 모낭충 옴피부병, 탈모 가려움증, 사상충감염 의심",충청남도 공주시,0,0,10,0.0,1,N
믹스,믹스,White,2013.01,8.6,25.0,http://www.animal.go.kr/files/shelter/2021/08/202108101308934.jpg,N,F,U,"피부병, 기력저하",부산광역시 해운대구,0,8,25,1.0,2,N
믹스,믹스,Beige,2022.01,0.7,4.0,http://www.animal.go.kr/files/shelter/2022/09/202209152309269.jpg,N,M,N,동그란눈이 예쁜 아이,경상남도 밀양시,0,0,4,0.0,1,N
믹스,믹스,Brown,2023.01,0.3,0.5,http://www.animal.go.kr/files/shelter/2023/04/202304051004705.jpg,N,M,N,이유식후분양,제주특별자치도 제주시,0,0,0,0.0,1,N
믹스,믹스,Black,2021.01,0.9,7.5,http://www.animal.go.kr/files/shelter/2021/11/202112131712119.jpg,N,M,U,"검정색, 교통사고, 오른쪽뒷다리 절단, 혈뇨, 병원이송-회복 불능",경상남도 창원시,0,0,8,0.0,2,N
