ID,썸네일,이름,들어온 날짜,나이,무게,종,성별,입양상태,특징
3301,https://youtu.be/Oj4oqI2S12c,설기(동대문센터),2023-10-13,2(세) 2(개월),4.5,DOG,M,N,"<p>새하얀 털이 백설기처럼 매력적이라 붙여진 이름 ‘설기’</p><p><br></p><p>웃을 때 미소가 무지무지 사랑스러운 아이입니다.</p><p><br></p><p>사람을 좋아해서 품으로 안기려고 하는 애교가 많은 아이입니다.</p><p><br></p><p>배변은 배변판에 곧잘 가리는 편이고, 목욕도 잘하는 편입니다.</p><p><br></p><p>다만 허리를 만지는 걸 싫어해서 허리쪽에 손이 닿는다면</p><p><br></p><p>앙앙거리며 경계하는 모습을 보이니 천천히 스킨쉽에 익숙해지려는 노력이 필요해요.</p><p><br></p><p>사료를 무척 좋아해서 잘 먹고, 편식하지 않는 기특한 아들이에요.</p><p><br></p><p>설기는 호기심이 많아서 이곳저곳 기웃거리며 코를 킁킁대면서 다녀요.</p><p><br></p><p>그럴 땐 호기심을 충분히 풀 수 있도록 잠시 기다려준다면</p><p><br></p><p>다시 보호자를 보며 신나게 깡충깡충 뛸 거에요.</p><p><br></p><p>점프를 좋아하는 설기!!!!</p><p><br></p><p>신나는 감정을 점프로 표현하는 설기라, 관절에 무리가 갈 수 있으니</p><p><br></p><p>너무 높이 뛰지 않게 주의를 기울일 필요가 있습니다.</p><p><br></p><p>사람에게 친화적이면서도 특정 부위(허리) 스킨쉽을 어려워하는 모습을 보이는 만큼</p><p><br></p><p>강아지를 키워본 경험이 있는 가정에 더 적합하리라 생각됩니다.</p><p><br></p><p>(혹은 동물을 처음 키워보시더라도 반려견 교육에 적극적으로 배우고 응해주실 분이라면 환영합니다!)</p><p><br></p><p>사랑스런 설기의 평생가족을 기다립니다.</p><p><br></p><p><br></p>"
3302,https://youtu.be/9R8U5rqOkDQ,후추(동대문센터),2023-10-13,2(세) 1(개월),4.2,DOG,M,N,"<p>사람에게 친화적이고 애교가 많으며 활발한 ‘후추’.</p><p><br></p><p>팔 벌리고 앉아 있으면 뛰어와서 폭 앉기는 사랑스러운 아이입니다.</p><p><br></p><p>후추는 배변 훈련이 필요하기에 보호자님의 노력 또한 필요합니다.</p><p><br></p><p>한정된 공간에 있으면 분리불안 증세를 보이기 때문에</p><p><br></p><p>산책을 많이 시켜주고, 같이 놀아주는 등 다양한 방법으로 스트레스를 발산시켜줘야 해요.</p><p><br></p><p>식욕이 왕성하고, 간식을 많이 좋아합니다.</p><p><br></p><p>사료는 가리지 않고 잘 먹어요. 편식하지도 않아요.</p><p><br></p><p>다만 동물도 급히 먹다 체할 수도 있으니 먹을 때 지켜봐준다면 좋을 것 같아요.</p><p><br></p><p>목욕을 조금 무서워하기 때문에 움직임이 있어요.</p><p><br></p><p>후추는 워낙 활발한 친구라 야외에서 우다다다 뛰어노는 걸 제일 좋아해요.</p><p><br></p><p>또한 사람을 좋아해서 사람에게 관심을 요구하는 편이라</p><p><br></p><p>밖에서도 보호자를 바라보는 주인바라기입니다.</p><p><br></p><p>놀 때도 적극적인 후추라서 다 놀아주고 나면</p><p><br></p><p>보호자의 바지 앞단에 후추의 발도장이 수두룩하답니다:)</p><p><br></p><p>사람과 강아지 모두 좋아하는 친구라</p><p><br></p><p>첫만남부터 낯가림이 전혀 없었던 후추.</p><p><br></p><p>어느 가정에나 잘 적응하고 어울릴 수 있는 친근한 아이에요.</p><p><br></p><p>특히 아이가 활발한 만큼 많이 놀아줄 수 있는 보호자님이라면 후추에게 더 좋을 거에요.</p><p><br></p><p>사랑스런 후추의 평생가족을 기다립니다.</p><p><br></p><p><br></p>"
